
## compliance-dock
North wall west [[-6.8, 15.8, 0.0], [-2.3, 16.08, 4.4]]
Wall_E6.78_0_6.15_vertical_flange.002 [[6.748, 7.565, 0.0], [6.776, 7.775, 4.4]]
Wall_E6.78_0_6.15_vertical_flange.003 [[6.62, 7.565, 0.0], [6.648, 7.775, 4.4]]
Wall_E6.78_1_12.2_concrete [[6.82, 12.2, 0.0], [7.12, 13.85, 4.4]]
Wall_E6.78_1_12.2_vertical_web [[6.62, 12.295, 0.0], [6.78, 12.365, 4.4]]
Wall_E6.78_1_12.2_vertical_flange [[6.748, 12.225, 0.0], [6.776, 12.435, 4.4]]
Wall_E6.78_1_12.2_vertical_flange.001 [[6.62, 12.225, 0.0], [6.648, 12.435, 4.4]]
Wall_E6.78_1_12.2_vertical_web.001 [[6.62, 13.685, 0.0], [6.78, 13.755, 4.4]]
Wall_E6.78_1_12.2_vertical_flange.002 [[6.748, 13.615, 0.0], [6.776, 13.825, 4.4]]
Wall_E6.78_1_12.2_vertical_flange.003 [[6.62, 13.615, 0.0], [6.648, 13.825, 4.4]]
Wall_W6.07_0_6.15_concrete [[5.73, 6.15, 0.0], [6.03, 7.8, 4.4]]
Wall_W6.07_0_6.15_vertical_web [[6.07, 7.635, 0.0], [6.23, 7.705, 4.4]]
Wall_W6.07_0_6.15_vertical_flange [[6.074, 7.565, 0.0], [6.102, 7.775, 4.4]]
Wall_W6.07_0_6.15_vertical_flange.001 [[6.202, 7.565, 0.0], [6.23, 7.775, 4.4]]
Wall_W6.07_0_6.15_vertical_web.001 [[6.07, 6.245, 0.0], [6.23, 6.315, 4.4]]
Wall_W6.07_0_6.15_vertical_flange.002 [[6.074, 6.175, 0.0], [6.102, 6.385, 4.4]]
Wall_W6.07_0_6.15_vertical_flange.003 [[6.202, 6.175, 0.0], [6.23, 6.385, 4.4]]
Wall_W6.07_1_12.2_concrete [[5.73, 12.2, 0.0], [6.03, 13.85, 4.4]]
Wall_W6.07_1_12.2_vertical_web [[6.07, 13.685, 0.0], [6.23, 13.755, 4.4]]
Wall_W6.07_1_12.2_vertical_flange [[6.074, 13.615, 0.0], [6.102, 13.825, 4.4]]
Wall_W6.07_1_12.2_vertical_flange.001 [[6.202, 13.615, 0.0], [6.23, 13.825, 4.4]]
Wall_W6.07_1_12.2_vertical_web.001 [[6.07, 12.295, 0.0], [6.23, 12.365, 4.4]]
Wall_W6.07_1_12.2_vertical_flange.002 [[6.074, 12.225, 0.0], [6.102, 12.435, 4.4]]
Wall_W6.07_1_12.2_vertical_flange.003 [[6.202, 12.225, 0.0], [6.23, 12.435, 4.4]]
Wall_N13.85_0_6.07_concrete [[6.07, 13.89, 0.0], [6.78, 14.19, 4.4]]
Wall_N13.85_0_6.07_vertical_web [[6.615, 13.69, 0.0], [6.685, 13.85, 4.4]]
Wall_N13.85_0_6.07_vertical_flange [[6.545, 13.818, 0.0], [6.755, 13.846, 4.4]]
Wall_N13.85_0_6.07_vertical_flange.001 [[6.545, 13.69, 0.0], [6.755, 13.718, 4.4]]
Wall_N13.85_0_6.07_vertical_web.001 [[6.165, 13.69, 0.0], [6.235, 13.85, 4.4]]
Wall_N13.85_0_6.07_vertical_flange.002 [[6.095, 13.818, 0.0], [6.305, 13.846, 4.4]]
Wall_N13.85_0_6.07_vertical_flange.003 [[6.095, 13.69, 0.0], [6.305, 13.718, 4.4]]
Wall_W10_0_7_concrete [[9.66, 7.0, 0.0], [9.96, 7.8, 4.4]]
Wall_W10_0_7_vertical_web [[10.0, 7.635, 0.0], [10.16, 7.705, 4.4]]
Wall_W10_0_7_vertical_flange [[10.004, 7.565, 0.0], [10.032, 7.775, 4.4]]
Wall_W10_0_7_vertical_flange.001 [[10.132, 7.565, 0.0], [10.16, 7.775, 4.4]]
Wall_W10_0_7_vertical_web.001 [[10.0, 7.095, 0.0], [10.16, 7.165, 4.4]]
Wall_W10_0_7_vertical_flange.002 [[10.004, 7.025, 0.0], [10.032, 7.235, 4.4]]
Wall_W10_0_7_vertical_flange.003 [[10.132, 7.025, 0.0], [10.16, 7.235, 4.4]]
Wall_W10_1_12.2_concrete [[9.66, 12.2, 0.0], [9.96, 13.2, 4.4]]
Wall_W10_1_12.2_vertical_web [[10.0, 13.035, 0.0], [10.16, 13.105, 4.4]]
Wall_W10_1_12.2_vertical_flange [[10.004, 12.965, 0.0], [10.032, 13.175, 4.4]]
Wall_W10_1_12.2_vertical_flange.001 [[10.132, 12.965, 0.0], [10.16, 13.175, 4.4]]
Wall_W10_1_12.2_vertical_web.001 [[10.0, 12.295, 0.0], [10.16, 12.365, 4.4]]
Wall_W10_1_12.2_vertical_flange.002 [[10.004, 12.225, 0.0], [10.032, 12.435, 4.4]]
Wall_W10_1_12.2_vertical_flange.003 [[10.132, 12.225, 0.0], [10.16, 12.435, 4.4]]
Wall_N24_0_11.4_concrete [[11.4, 23.7, 0.0], [11.58, 24.0, 5.9]]
Wall_N24_0_11.4_vertical_web [[11.455, 23.5, 0.0], [11.525, 23.66, 5.9]]
Wall_N24_0_11.4_vertical_flange [[11.385, 23.628, 0.0], [11.595, 23.656, 5.9]]
Wall_N24_0_11.4_vertical_flange.001 [[11.385, 23.5, 0.0], [11.595, 23.528, 5.9]]
Wall_N24_0_16.82_concrete [[16.82, 23.7, 0.0], [17.0, 24.0, 5.9]]
Wall_N24_0_16.82_vertical_web [[16.875, 23.5, 0.0], [16.945, 23.66, 5.9]]
Wall_N24_0_16.82_vertical_flange [[16.805, 23.628, 0.0], [17.015, 23.656, 5.9]]
Wall_N24_0_16.82_vertical_flange.001 [[16.805, 23.5, 0.0], [17.015, 23.528, 5.9]]
Wall_W11.4_0_21_concrete [[11.06, 21.0, 0.0], [11.36, 24.0, 5.9]]
Wall_W11.4_0_21_vertical_web [[11.4, 23.835, 0.0], [11.56, 23.905, 5.9]]
Wall_W11.4_0_21_vertical_flange [[11.404, 23.765, 0.0], [11.432, 23.975, 5.9]]
Wall_W11.4_0_21_vertical_flange.001 [[11.532, 23.765, 0.0], [11.56, 23.975, 5.9]]
Wall_W11.4_0_21_vertical_web.001 [[11.4, 22.465, 0.0], [11.56, 22.535, 5.9]]
Wall_W11.4_0_21_vertical_flange.002 [[11.404, 22.395, 0.0], [11.432, 22.605, 5.9]]
Wall_W11.4_0_21_vertical_flange.003 [[11.532, 22.395, 0.0], [11.56, 22.605, 5.9]]
Wall_W11.4_0_21_vertical_web.002 [[11.4, 21.095, 0.0], [11.56, 21.165, 5.9]]
Wall_W11.4_0_21_vertical_flange.004 [[11.404, 21.025, 0.0], [11.432, 21.235, 5.9]]
Wall_W11.4_0_21_vertical_flange.005 [[11.532, 21.025, 0.0], [11.56, 21.235, 5.9]]
Wall_W11.4_0_21_panel_joint [[11.392, 22.494, 1.3], [11.408, 22.506, 5.9]]
Wall_E16.4_0_7_concrete [[16.44, 7.0, 0.0], [16.74, 14.68, 4.4]]
Wall_E16.4_0_7_vertical_web [[16.24, 7.095, 0.0], [16.4, 7.165, 4.4]]
Wall_E16.4_0_7_vertical_flange [[16.368, 7.025, 0.0], [16.396, 7.235, 4.4]]
Wall_E16.4_0_7_vertical_flange.001 [[16.24, 7.025, 0.0], [16.268, 7.235, 4.4]]
Wall_E16.4_0_7_vertical_web.001 [[16.24, 8.885, 0.0], [16.4, 8.955, 4.4]]
Wall_E16.4_0_7_vertical_flange.002 [[16.368, 8.815, 0.0], [16.396, 9.025, 4.4]]
Wall_E16.4_0_7_vertical_flange.003 [[16.24, 8.815, 0.0], [16.268, 9.025, 4.4]]
Wall_E16.4_0_7_vertical_web.002 [[16.24, 10.805, 0.0], [16.4, 10.875, 4.4]]
Wall_E16.4_0_7_vertical_flange.004 [[16.368, 10.735, 0.0], [16.396, 10.945, 4.4]]
Wall_E16.4_0_7_vertical_flange.005 [[16.24, 10.735, 0.0], [16.268, 10.945, 4.4]]
Wall_E16.4_0_7_vertical_web.003 [[16.24, 12.725, 0.0], [16.4, 12.795, 4.4]]
Wall_E16.4_0_7_vertical_flange.006 [[16.368, 12.655, 0.0], [16.396, 12.865, 4.4]]
Wall_E16.4_0_7_vertical_flange.007 [[16.24, 12.655, 0.0], [16.268, 12.865, 4.4]]
Wall_E16.4_0_7_vertical_web.004 [[16.24, 14.515, 0.0], [16.4, 14.585, 4.4]]
Wall_E16.4_0_7_vertical_flange.008 [[16.368, 14.445, 0.0], [16.396, 14.655, 4.4]]
Wall_E16.4_0_7_vertical_flange.009 [[16.24, 14.445, 0.0], [16.268, 14.655, 4.4]]
Wall_E16.4_0_7_panel_joint [[16.392, 8.914, 1.3], [16.408, 8.926, 4.4]]
Wall_E16.4_0_7_panel_joint.001 [[16.392, 10.834, 1.3], [16.408, 10.846, 4.4]]
Wall_E16.4_0_7_panel_joint.002 [[16.392, 12.754, 1.3], [16.408, 12.766, 4.4]]
Wall_E16.4_0_17.32_concrete [[16.44, 17.32, 0.0], [16.74, 21.0, 4.4]]
Wall_E16.4_0_17.32_vertical_web [[16.24, 17.415, 0.0], [16.4, 17.485, 4.4]]
Wall_E16.4_0_17.32_vertical_flange [[16.368, 17.345, 0.0], [16.396, 17.555, 4.4]]
Wall_E16.4_0_17.32_vertical_flange.001 [[16.24, 17.345, 0.0], [16.268, 17.555, 4.4]]
Wall_E16.4_0_17.32_vertical_web.001 [[16.24, 19.125, 0.0], [16.4, 19.195, 4.4]]
Wall_E16.4_0_17.32_vertical_flange.002 [[16.368, 19.055, 0.0], [16.396, 19.265, 4.4]]
Wall_E16.4_0_17.32_vertical_flange.003 [[16.24, 19.055, 0.0], [16.268, 19.265, 4.4]]
Wall_E16.4_0_17.32_vertical_web.002 [[16.24, 20.835, 0.0], [16.4, 20.905, 4.4]]
Wall_E16.4_0_17.32_vertical_flange.004 [[16.368, 20.765, 0.0], [16.396, 20.975, 4.4]]
Wall_E16.4_0_17.32_vertical_flange.005 [[16.24, 20.765, 0.0], [16.268, 20.975, 4.4]]
Wall_E16.4_0_17.32_panel_joint [[16.392, 19.154, 1.3], [16.408, 19.166, 4.4]]
Wall_W12_0_13.2_concrete [[11.66, 13.2, 0.0], [11.96, 18.0, 4.4]]
Wall_W12_0_13.2_vertical_web [[12.0, 17.835, 0.0], [12.16, 17.905, 4.4]]
Wall_W12_0_13.2_vertical_flange [[12.004, 17.765, 0.0], [12.032, 17.975, 4.4]]
Wall_W12_0_13.2_vertical_flange.001 [[12.132, 17.765, 0.0], [12.16, 17.975, 4.4]]
Wall_W12_0_13.2_vertical_web.001 [[12.0, 16.365, 0.0], [12.16, 16.435, 4.4]]
Wall_W12_0_13.2_vertical_flange.002 [[12.004, 16.295, 0.0], [12.032, 16.505, 4.4]]
Wall_W12_0_13.2_vertical_flange.003 [[12.132, 16.295, 0.0], [12.16, 16.505, 4.4]]
Wall_W12_0_13.2_vertical_web.002 [[12.0, 14.765, 0.0], [12.16, 14.835, 4.4]]
Wall_W12_0_13.2_vertical_flange.004 [[12.004, 14.695, 0.0], [12.032, 14.905, 4.4]]
Wall_W12_0_13.2_vertical_flange.005 [[12.132, 14.695, 0.0], [12.16, 14.905, 4.4]]
Wall_W12_0_13.2_vertical_web.003 [[12.0, 13.295, 0.0], [12.16, 13.365, 4.4]]
Wall_W12_0_13.2_vertical_flange.006 [[12.004, 13.225, 0.0], [12.032, 13.435, 4.4]]
Wall_W12_0_13.2_vertical_flange.007 [[12.132, 13.225, 0.0], [12.16, 13.435, 4.4]]
Wall_W12_0_13.2_panel_joint [[11.992, 15.594, 1.3], [12.008, 15.606, 4.4]]
Wall_S21_0_16.4_concrete [[16.4, 20.66, 0.0], [17.0, 20.96, 5.9]]
Wall_S21_0_16.4_vertical_web [[16.495, 21.0, 0.0], [16.565, 21.16, 5.9]]
Wall_S21_0_16.4_vertical_flange [[16.425, 21.004, 0.0], [16.635, 21.032, 5.9]]
Wall_S21_0_16.4_vertical_flange.001 [[16.425, 21.132, 0.0], [16.635, 21.16, 5.9]]
Wall_S21_0_16.4_vertical_web.001 [[16.835, 21.0, 0.0], [16.905, 21.16, 5.9]]
Wall_S21_0_16.4_vertical_flange.002 [[16.765, 21.004, 0.0], [16.975, 21.032, 5.9]]
Wall_S21_0_16.4_vertical_flange.003 [[16.765, 21.132, 0.0], [16.975, 21.16, 5.9]]
Wall_E17.0_0_21_concrete [[17.04, 21.0, 0.0], [17.34, 24.0, 5.9]]
Wall_E17.0_0_21_vertical_web [[16.84, 21.095, 0.0], [17.0, 21.165, 5.9]]
Wall_E17.0_0_21_vertical_flange [[16.968, 21.025, 0.0], [16.996, 21.235, 5.9]]
Wall_E17.0_0_21_vertical_flange.001 [[16.84, 21.025, 0.0], [16.868, 21.235, 5.9]]
Wall_E17.0_0_21_vertical_web.001 [[16.84, 22.465, 0.0], [17.0, 22.535, 5.9]]
Wall_E17.0_0_21_vertical_flange.002 [[16.968, 22.395, 0.0], [16.996, 22.605, 5.9]]
Wall_E17.0_0_21_vertical_flange.003 [[16.84, 22.395, 0.0], [16.868, 22.605, 5.9]]
Wall_E17.0_0_21_vertical_web.002 [[16.84, 23.835, 0.0], [17.0, 23.905, 5.9]]
Wall_E17.0_0_21_vertical_flange.004 [[16.968, 23.765, 0.0], [16.996, 23.975, 5.9]]
Wall_E17.0_0_21_vertical_flange.005 [[16.84, 23.765, 0.0], [16.868, 23.975, 5.9]]
Wall_E17.0_0_21_panel_joint [[16.992, 22.494, 1.3], [17.008, 22.506, 5.9]]
FREIGHT_GATE_lintel_roof [[6.14, 7.94, 3.61], [6.66, 12.06, 3.66]]
WASTE_PORT_lintel_roof [[15.69, 14.44, 3.21], [16.21, 17.56, 3.26]]
REACTOR_BOUNDARY_lintel_roof [[11.34, 23.29, 5.21], [17.06, 23.81, 5.26]]
REFINERY_BOUNDARY_lintel_roof [[-1.66, 0.19, 3.21], [1.66, 0.71, 3.26]]

## medical-reanimation
West wall [[-4.18, -0.18, 0.0], [-4.0, 9.18, 3.6]]
East wall [[4.0, -0.18, 0.0], [4.18, 9.18, 3.6]]
Entry wall [[-4.18, -0.18, 0.0], [-1.1, 0.0, 3.6]]
Entry wall.001 [[1.1, -0.18, 0.0], [4.18, 0.0, 3.6]]
Rear west wall [[-4.0, 9.0, 0.0], [1.55, 9.18, 3.6]]
Rear east wall [[2.75, 9.0, 0.0], [4.0, 9.18, 3.6]]
Chamber roof load beam [[-3.924, 2.49, 2.645], [-1.494, 6.77, 2.815]]

## mine
CSM_Facility_transition_wall [[-2.62, -22.0, 0.0], [-2.22, -14.0, 3.8]]
CSM_Facility_transition_wall.002 [[2.22, -22.0, 0.0], [2.62, -14.0, 3.8]]
CSM_Facility_transition_roof [[-2.525, -22.0, 3.76], [2.525, -14.0, 3.96]]
CSM_Canopy_roof_half [[-7.878, -13.95, 5.126], [0.018, 0.15, 5.744]]
CSM_Standing_roof_seam [[-0.369, -13.945, 5.672], [-0.331, 0.145, 5.719]]
CSM_Standing_roof_seam.002 [[-0.989, -13.945, 5.628], [-0.951, 0.145, 5.676]]
CSM_Standing_roof_seam.003 [[-1.609, -13.945, 5.585], [-1.571, 0.145, 5.632]]
CSM_Standing_roof_seam.004 [[-2.229, -13.945, 5.542], [-2.191, 0.145, 5.589]]
CSM_Standing_roof_seam.005 [[-2.849, -13.945, 5.498], [-2.811, 0.145, 5.546]]
CSM_Standing_roof_seam.006 [[-3.469, -13.945, 5.455], [-3.431, 0.145, 5.502]]
CSM_Standing_roof_seam.007 [[-4.089, -13.945, 5.411], [-4.051, 0.145, 5.459]]
CSM_Standing_roof_seam.008 [[-4.709, -13.945, 5.368], [-4.671, 0.145, 5.415]]
CSM_Standing_roof_seam.009 [[-5.329, -13.945, 5.325], [-5.291, 0.145, 5.372]]
CSM_Standing_roof_seam.010 [[-5.949, -13.945, 5.281], [-5.911, 0.145, 5.329]]
CSM_Standing_roof_seam.011 [[-6.569, -13.945, 5.238], [-6.531, 0.145, 5.285]]
CSM_Standing_roof_seam.012 [[-7.189, -13.945, 5.194], [-7.151, 0.145, 5.242]]
CSM_Canopy_roof_half.002 [[-0.018, -13.95, 5.126], [7.878, 0.15, 5.744]]
CSM_Standing_roof_seam.013 [[0.331, -13.945, 5.672], [0.369, 0.145, 5.719]]
CSM_Standing_roof_seam.014 [[0.951, -13.945, 5.628], [0.989, 0.145, 5.676]]
CSM_Standing_roof_seam.015 [[1.571, -13.945, 5.585], [1.609, 0.145, 5.632]]
CSM_Standing_roof_seam.016 [[2.191, -13.945, 5.542], [2.229, 0.145, 5.589]]
CSM_Standing_roof_seam.017 [[2.811, -13.945, 5.498], [2.849, 0.145, 5.546]]
CSM_Standing_roof_seam.018 [[3.431, -13.945, 5.455], [3.469, 0.145, 5.502]]
CSM_Standing_roof_seam.019 [[4.051, -13.945, 5.411], [4.089, 0.145, 5.459]]
CSM_Standing_roof_seam.020 [[4.671, -13.945, 5.368], [4.709, 0.145, 5.415]]
CSM_Standing_roof_seam.021 [[5.291, -13.945, 5.325], [5.329, 0.145, 5.372]]
CSM_Standing_roof_seam.022 [[5.911, -13.945, 5.281], [5.949, 0.145, 5.329]]
CSM_Standing_roof_seam.023 [[6.531, -13.945, 5.238], [6.569, 0.145, 5.285]]
CSM_Standing_roof_seam.024 [[7.151, -13.945, 5.194], [7.189, 0.145, 5.242]]
CSM_Portal_buttress [[-5.38, -0.32, 0.0], [-2.92, 0.88, 6.08]]
CSM_Portal_buttress.002 [[2.92, -0.32, 0.0], [5.38, 0.88, 6.08]]
CSM_Portal_inner_lining [[-3.26, 0.245, 0.0], [-2.94, 3.595, 3.32]]
CSM_Portal_inner_lining.002 [[2.94, 0.245, 0.0], [3.26, 3.595, 3.32]]
CSM_Shotcrete_portal_collar [[-3.2, -0.19, 0.0], [3.2, 1.49, 4.95]]
CSMV_Handoff side wall_0922 [[-7.9, -20.37, 0.0], [-2.26, -20.13, 5.0]]
CSMV_Handoff side wall_0932 [[2.26, -20.37, 0.0], [7.9, -20.13, 5.0]]
CSMV_Distant service wall_0968 [[-2.3, -27.51, 0.0], [2.3, -27.29, 4.0]]

## reactor-room
Shell 1 field [[-5.988, 10.8, 0.011], [-2.512, 11.08, 4.989]]
Shell 1 field.001 [[-5.988, 10.8, 5.011], [-2.512, 11.08, 9.589]]
Shell 1 field.002 [[-5.988, 10.8, 9.611], [-2.512, 11.08, 13.389]]
Shell 1 field.003 [[-5.988, 10.8, 13.411], [-2.512, 11.08, 15.989]]
Shell 1 field.004 [[-2.488, 10.8, 5.011], [-0.012, 11.08, 9.589]]
Shell 1 field.005 [[0.012, 10.8, 5.011], [2.488, 11.08, 9.589]]
Shell 1 field.006 [[-2.488, 10.8, 9.611], [-0.012, 11.08, 13.389]]
Shell 1 field.007 [[0.012, 10.8, 9.611], [2.488, 11.08, 13.389]]
Shell 1 field.010 [[2.512, 10.8, 0.011], [5.988, 11.08, 4.989]]
Shell 1 field.011 [[2.512, 10.8, 5.011], [5.988, 11.08, 9.589]]
Shell 1 field.012 [[2.512, 10.8, 9.611], [5.988, 11.08, 13.389]]
Shell 1 field.013 [[2.512, 10.8, 13.411], [5.988, 11.08, 15.989]]
FUEL HANDLING.link wall [[-2.82, 10.8, 0.0], [-2.5, 14.5, 5.0]]
FUEL HANDLING.link wall.001 [[2.5, 10.8, 0.0], [2.82, 14.5, 5.0]]
FUEL HANDLING.link roof [[-2.5, 10.8, 5.0], [2.5, 14.5, 5.24]]
Shell 2 field [[6.249, 8.649, 0.011], [8.83, 11.23, 4.989]]
Shell 2 field.001 [[8.649, 6.249, 0.011], [11.23, 8.83, 4.989]]
Shell 2 field.002 [[6.008, 8.408, 5.011], [8.59, 10.99, 9.589]]
Shell 2 field.003 [[8.408, 6.008, 5.011], [10.99, 8.59, 9.589]]
Shell 2 field.004 [[6.008, 8.408, 9.611], [8.59, 10.99, 13.389]]
Shell 2 field.005 [[8.408, 6.008, 9.611], [10.99, 8.59, 13.389]]
Shell 3 field [[10.8, 5.612, 0.011], [11.08, 5.988, 4.989]]
Shell 3 field.005 [[10.8, 5.612, 12.911], [11.08, 5.988, 15.989]]
Shell 3 field.010 [[10.8, 2.712, 12.911], [11.08, 5.588, 15.989]]
Shell 3 field.013 [[10.8, 1.612, 12.911], [11.08, 2.688, 15.989]]
Shell 3 field.014 [[10.8, -2.688, 0.011], [11.08, 1.588, 4.989]]
Shell 3 field.015 [[10.8, -2.688, 5.011], [11.08, 1.588, 7.989]]
Shell 3 field.017 [[10.8, -2.688, 12.911], [11.08, 1.588, 15.989]]
Shell 3 field.018 [[10.8, -5.988, 0.011], [11.08, -2.712, 4.989]]
Shell 3 field.019 [[10.8, -5.988, 5.011], [11.08, -2.712, 7.989]]
Shell 3 field.020 [[10.8, -5.988, 8.011], [11.08, -2.712, 10.189]]
Shell 3 field.022 [[10.8, -5.988, 10.311], [11.08, -2.712, 12.889]]
Shell 3 field.023 [[10.8, -5.988, 12.911], [11.08, -2.712, 15.989]]
Shell 4 field [[10.176, -6.822, 0.011], [10.99, -6.008, 4.989]]
Shell 4 field.001 [[10.176, -6.822, 5.011], [10.99, -6.008, 9.589]]
Shell 4 field.002 [[10.176, -6.822, 9.611], [10.99, -6.008, 13.389]]
Shell 4 field.004 [[8.408, -8.59, 5.011], [10.357, -6.641, 9.589]]
Shell 4 field.005 [[6.641, -10.357, 5.011], [8.59, -8.408, 9.589]]
Shell 4 field.006 [[8.408, -8.59, 9.611], [10.357, -6.641, 13.389]]
Shell 4 field.007 [[6.641, -10.357, 9.611], [8.59, -8.408, 13.389]]
Shell 4 field.010 [[6.008, -10.99, 0.011], [6.822, -10.176, 4.989]]
Shell 4 field.011 [[6.008, -10.99, 5.011], [6.822, -10.176, 9.589]]
Shell 4 field.012 [[6.008, -10.99, 9.611], [6.822, -10.176, 13.389]]
COOLING PLANT.link wall [[10.168, -9.249, 0.0], [13.01, -6.406, 5.0]]
COOLING PLANT.link wall.001 [[6.406, -13.01, 0.0], [9.249, -10.168, 5.0]]
COOLING PLANT.link roof [[6.632, -12.784, 5.0], [12.784, -6.632, 5.24]]
Shell 5 field [[2.012, -11.42, 0.011], [5.988, -11.14, 4.989]]
Shell 5 field.001 [[-1.988, -11.42, 0.011], [1.988, -11.14, 4.989]]
Shell 5 field.002 [[-5.988, -11.42, 0.011], [-2.012, -11.14, 4.989]]
Shell 5 field.003 [[2.012, -11.08, 5.011], [5.988, -10.8, 9.589]]
Shell 5 field.004 [[-1.988, -11.08, 5.011], [1.988, -10.8, 9.589]]
Shell 5 field.005 [[-5.988, -11.08, 5.011], [-2.012, -10.8, 9.589]]
Shell 5 field.006 [[2.012, -11.08, 9.611], [5.988, -10.8, 13.389]]
Shell 5 field.007 [[-1.988, -11.08, 9.611], [1.988, -10.8, 13.389]]
Shell 5 field.008 [[-5.988, -11.08, 9.611], [-2.012, -10.8, 13.389]]
Shell 5 field.009 [[2.012, -11.08, 13.411], [5.988, -10.8, 15.989]]
Shell 5 field.010 [[-1.988, -11.08, 13.411], [1.988, -10.8, 15.989]]
Shell 5 field.011 [[-5.988, -11.08, 13.411], [-2.012, -10.8, 15.989]]
Shell 6 field [[-8.59, -10.99, 0.011], [-6.008, -8.408, 4.989]]
Shell 6 field.001 [[-10.99, -8.59, 0.011], [-8.408, -6.008, 4.989]]
Shell 6 field.002 [[-8.59, -10.99, 5.011], [-6.008, -8.408, 9.589]]
Shell 6 field.003 [[-10.99, -8.59, 5.011], [-8.408, -6.008, 9.589]]
Shell 6 field.004 [[-8.59, -10.99, 9.611], [-6.008, -8.408, 13.389]]
Shell 6 field.005 [[-10.99, -8.59, 9.611], [-8.408, -6.008, 13.389]]
Shell 7 field.002 [[-11.08, -5.988, 5.511], [-10.8, -3.012, 9.589]]
Shell 7 field.003 [[-11.08, -5.988, 9.611], [-10.8, -3.012, 13.389]]
Shell 7 field.005 [[-11.08, -2.988, 5.511], [-10.8, -0.012, 9.589]]
Shell 7 field.006 [[-11.08, 0.012, 5.511], [-10.8, 2.988, 9.589]]
Shell 7 field.007 [[-11.08, -2.988, 9.611], [-10.8, -0.012, 13.389]]
Shell 7 field.008 [[-11.08, 0.012, 9.611], [-10.8, 2.988, 13.389]]
Shell 7 field.013 [[-11.08, 3.012, 5.511], [-10.8, 5.988, 9.589]]
Shell 7 field.014 [[-11.08, 3.012, 9.611], [-10.8, 5.988, 13.389]]
MAIN ACCESS.link wall [[-14.5, -3.32, 0.0], [-10.8, -3.0, 5.5]]
MAIN ACCESS.link wall.001 [[-14.5, 3.0, 0.0], [-10.8, 3.32, 5.5]]
MAIN ACCESS.link roof [[-14.5, -3.0, 5.5], [-10.8, 3.0, 5.74]]
Shell 8 field [[-11.23, 6.249, 0.011], [-8.649, 8.83, 4.989]]
Shell 8 field.001 [[-8.83, 8.649, 0.011], [-6.249, 11.23, 4.989]]
Shell 8 field.002 [[-10.99, 6.008, 5.011], [-8.408, 8.59, 9.589]]
Shell 8 field.003 [[-8.59, 8.408, 5.011], [-6.008, 10.99, 9.589]]
Shell 8 field.004 [[-10.99, 6.008, 9.611], [-8.408, 8.59, 13.389]]
Shell 8 field.005 [[-8.59, 8.408, 9.611], [-6.008, 10.99, 13.389]]
Gantry roof transfer member [[-7.8, -3.5, 15.65], [-7.4, 3.5, 15.95]]
Gantry roof transfer member.001 [[7.4, -3.5, 15.65], [7.8, 3.5, 15.95]]
Control east wall [[14.76, -3.4, 10.0], [14.96, 3.4, 13.4]]
Control south wall [[10.9, -3.4, 10.0], [15.06, -3.2, 13.4]]
Control roof [[10.9, -3.4, 13.4], [15.06, 3.4, 13.6]]
Vestibule roof [[11.16, 1.6, 5.0], [12.46, 5.6, 5.2]]
Stair core roof [[12.46, 3.2, 12.4], [18.71, 6.4, 12.6]]
Stair enamel wall protection [[12.71, 3.4, 0.0], [18.49, 3.414, 3.66]]
Stair enamel wall protection.003 [[12.71, 6.186, 2.5], [18.49, 6.2, 6.16]]
Stair enamel wall protection.004 [[12.71, 3.4, 5.0], [18.49, 3.414, 8.66]]
Stair enamel wall protection.007 [[12.71, 6.186, 7.5], [18.49, 6.2, 11.16]]
Continuous octagonal roof header [[-5.199, 9.233, 15.15], [5.199, 9.483, 15.85]]
Continuous octagonal roof header.001 [[5.114, 5.114, 15.15], [9.443, 9.443, 15.85]]
Continuous octagonal roof header.002 [[9.233, -5.199, 15.15], [9.483, 5.199, 15.85]]
Continuous octagonal roof header.003 [[5.114, -9.443, 15.15], [9.443, -5.114, 15.85]]
Continuous octagonal roof header.004 [[-5.199, -9.483, 15.15], [5.199, -9.233, 15.85]]
Continuous octagonal roof header.005 [[-9.443, -9.443, 15.15], [-5.114, -5.114, 15.85]]
Continuous octagonal roof header.006 [[-9.483, -5.199, 15.15], [-9.233, 5.199, 15.85]]
Continuous octagonal roof header.007 [[-9.443, 5.114, 15.15], [-5.114, 9.443, 15.85]]

## refinery
North_wall [[-7.807, 6.434, 0.0], [7.807, 6.734, 4.8]]

## spawn-room
BRIEFING_focal_wall [[-7.461, 1.0, 0.0], [-7.299, 6.1, 3.4]]

## turbine-room
West wall [[-4.25, 0.0, 0.0], [-4.0, 24.0, 7.2]]
East wall [[10.0, 0.0, 0.0], [10.25, 24.0, 7.2]]
End wall [[-4.0, 0.0, 0.0], [-1.2, 0.25, 7.2]]
End wall.001 [[1.2, 0.0, 0.0], [10.0, 0.25, 7.2]]
Overdoor wall [[-1.2, 0.0, 2.84], [1.2, 0.25, 7.2]]
End wall.002 [[-4.0, 24.0, 0.0], [-1.2, 24.25, 7.2]]
End wall.003 [[1.2, 24.0, 0.0], [10.0, 24.25, 7.2]]
Overdoor wall.001 [[-1.2, 24.0, 2.84], [1.2, 24.25, 7.2]]
Roof deck [[-4.25, -0.25, 7.2], [10.25, 24.25, 7.44]]
